id,tenant_id,name,address,place_id
127,1,Auchan Supermarket Marseilles Mazargues,"5 Av. de la Martheline, Marseille",ChIJJ3jRA4S4yRIRk-OwN2dK24k
128,1,Auchan Piéton Marseille République,"89 Rue de la République, Marseille",ChIJIStgMurByRIRuOFzNzXK6hU
129,1,Auchan Supermarché Marseille Marius Jauffret,"3 Rue Marius Jauffret, Marseille",ChIJi_jvgVDHyRIRYDC66RnbxWY
130,1,Auchan Supermarché Senas,"ZAC de la Capelette, Av. de la Capelette, Sénas",ChIJUzKK_s8AyhIR95voYcHLdqE
131,1,Auchan,"13 Rue Désirée Clary, Marseille",ChIJxc8iW-3AyRIROJysASKDK90
132,1,Auchan Piéton Marseille Barthélémy,"10 Rue des 3 Frères Barthélémy, Marseille",ChIJ882frgPByRIRYi9rKCmV8Os
133,1,Auchan Piéton Marseille Coteau,"23 Rue du Coteau, Marseille",ChIJgWKwFbDByRIRHejcMMvLzrw
134,1,Auchan Gourmand Prado,"41 Bd Michelet, Marseille",ChIJcdFxab_HyRIRNoWtyQT9Xco
135,1,Auchan Supermarché Marseille Les Caillols,"Centre Commercial Barnabe, 67 Av. des Caillols, Marseille",ChIJwT8N_w-_yRIRztTETwS45gU
136,1,Auchan Piéton Marseille Blancarde,"37 Bd de la Blancarde, Marseille",ChIJvdbobly_yRIRjj_UUJtG4d0
137,1,Auchan Piéton Marseille Chave,"202 Bd Chave, Marseille",ChIJp7ltBuC_yRIRKPKdZDPPvyY
138,1,Auchan Piéton Marseille Libération,"10-12 Bd de la Libération, Marseille",ChIJO3dpC8vByRIRNV2lgebnFJI
139,1,Auchan Piéton Marseille Baille,"99 Bd Baille, Marseille",ChIJMTfpBpfByRIRQLFITQZ0RYs
140,1,Auchan Piéton Toulon Bazeilles,"113 Bd Bazeilles, Toulon",ChIJvdlJ--cbyRIRPhiok56Bf5w
141,1,Auchan Drive Marseille Prado,"41 Bd Michelet, Marseille",ChIJ-xobHsLHyRIRaZBKRkVnEnc
142,1,Auchan Minute,Marseille,ChIJKYBecsHAyRIRcZduWOmlt6A
143,1,Centre Com.Auchan Canto Perdrix,"Avenue sarl 45 eme, Martigues",ChIJv6J_dtQfthIRZmeiExOeTic
144,1,Auchan Photo Marseille St Loup,"90 Bd Romain Rolland, Marseille",ChIJxRnJJzO_yRIRPItR-8CvxOQ
145,1,Auchan Photo Aubagne,"Rte de Gémenos, Aubagne",ChIJj42LLxKjyRIRQDZY-pZySIY
146,1,Auchan Photo Toulon La Seyne Sur Mer,"Quartier Lery RN 63, LA Seyne S/mer",ChIJXZkav4cEyRIRGZN6ZofwjTY
147,1,Station Service Auchan Martigues,"Bd Paul Eluard, Martigues",ChIJR5VA-igethIRjVE0tuCW-4s
148,1,Traiteur Auchan Marseille St Loup,"Centre Commercial, 57 Bd Romain Rolland, Marseille",ChIJw4hZsMq_yRIRMNreThX08Nc
149,1,Auchan Photo Martigues,"Avenue Paul Eluard, Martigues",ChIJkWrU5yQethIRG7tBBE2fv-w
150,1,Traiteur Auchan Aubagne en Provence,"Route de Gemenos, Centre Commercial, Aubagne",ChIJ06fC_4ujyRIR1tgLAaPQ2H0
151,1,Auchan Optique - AUBAGNE,"Rte de Gémenos, Aubagne",ChIJL5JzwEqjyRIR0wkv3mh0P7A
